Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views
From The D To The A (feat. Lil Yachty),From The D To The A (feat. Lil Yachty),Tee Grizzley,2017-03-17,1122,44.8,364325529,83638,10924243,64.0,29708407,206341,42311,2417700,16341869
Me Rehï¿½ï,Los Nï¿½ï¿½meros 1 De Los 40 (Music Inspires L,Danny Ocean,2017-11-03,1126,44.8,1778934858,37040,21117726,74.0,1915123572,6102709,261323,17109874,158762431
Nonsense,emails i can't send,Sabrina Carpenter,2022-07-15,1129,44.8,817286460,55620,61610668,83.0,156580179,1685462,179864,36883907,357890160
Run It Up (feat. Offset & Moneybagg Yo),Destined 2 Win,Lil Tjay,2021-04-02,1127,44.8,392745531,141221,21996686,67.0,96203913,1246093,44979,17567842,137477748
Lose You To Love Me,Lose You To Love Me,Selena Gomez,2019-10-23,1123,44.8,1222228366,109325,48327775,72.0,569150755,10176233,210846,55268559,519924812
Worth It,Worth It,YK Osiris,2019-02-08,1125,44.8,340112388,66487,6617103,60.0,283340446,3313053,576099,18279931,132694197
Fight The Feeling,Fight The Feeling,Rod Wave,2023-03-31,1128,44.8,86327319,18112,2247123,51.0,65828097,457580,179400,15991452,137960911
Axel F,Best of Crazy Hits,Crazy Frog,2009-12-11,1134,44.7,178536020,870,142649,30.0,5049428366,20305999,0,0,0
Robbery,Robbery,Juice WRLD,2019-02-13,1131,44.7,1306374052,213493,32159591,73.0,606402216,5432558,287303,40611392,281781468
Bebe Dame,Bebe Dame - Single,Fuerza Regida,2022-12-16,1132,44.7,562099076,51229,20388246,70.0,11080081,68671,623600,146379790,1746059702
Green Green Grass,george ezra songs to play when the sun's out,George Ezra,2022-03-22,1133,44.7,300430813,50552,12812123,69.0,103550086,844925,1664351,248347598,3375488113
Zihaal e Miskin,Zihaal e Miskin,Javed-Mohsin,2023-05-25,1135,44.7,110644306,4432,3741353,65.0,367432386,4091411,0,0,0
Fiel,Los Legendarios 001,Los Legendarios,2021-02-04,1130,44.7,642558596,106151,40485324,64.0,357508658,2089382,1884605,309769907,2853555921
Neverita,Un Verano Sin Ti,Bad Bunny,2022-05-06,1139,44.6,831868563,93211,21780286,73.0,181498962,1237772,115200,87502749,985066343
2002 - Remix,2002 (Remix),Shaun Reynolds,2018-05-11,1136,44.6,303962,88,6796,8.0,0,0,16501062,9430921,137616390
No Se Va,No Se Va,Grupo Frontera,2022-12-01,1137,44.6,51750,67,3924,63.50158061116965,610569249,2662885,0,0,0
Infinity,Feel Something,Jaymes Young,2017-06-23,1138,44.6,1059940209,169454,48961048,74.0,569314714,6558074,5441674,1889279204,22241102823
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Highlights (Deluxe),The Weeknd,2021-02-05,1142,44.5,812954133,137681,53947304,81.0,66369681,851906,564129,71837599,797041217
adore u,adore u,Fred again..,2023-08-11,1141,44.5,129427492,44672,48826452,71.0,10933079,80021,29740,8528307,135983684
Numb Little Bug,Numb Little Bug,Em Beihold,2022-01-28,1143,44.5,360584207,68868,18801509,66.0,41254765,1015183,177123,69378146,667895022
Feel It,Feel It (From The Original Series ï¿½ï¿½ï¿½Invincib,d4vd,2024-03-28,1140,44.5,110377644,8980,78939536,63.50158061116965,10803398,190363,0,554400,4211900
Loco Contigo (feat. J. Balvin & Tyga),"Loco Contigo (with J. Balvin, feat. Tyga)",DJ Snake,2019-06-13,1144,44.4,822696809,141261,26970098,68.0,587804570,5432716,806169,35719393,404031807
Faz um Vuk Vuk (Teto Espelhado),Faz um Vuk Vuk (Teto Espelhado),MC Kevin o Chris,2023-07-20,1145,44.4,222879686,26854,23489333,68.0,183254308,938331,80100,22478680,315723211
Suicidal,Melly vs. Melvin,YNW Melly,2019-11-22,1146,44.4,572441305,113061,13801176,67.0,317626075,4533617,4475534,218106950,1659032393
"Photo (From ""Luka Chuppi"")","Photo (From ""Luka Chuppi"")",Karan Sehmbi,2019-02-12,1149,44.3,72849488,9804,2252266,54.0,329389939,2348757,11600000,10188221,246534268
Sky,Whole Lotta Red,Playboi Carti,2020-12-25,1147,44.3,710319373,209136,30701216,74.0,183959519,2671075,154135,62458934,363975031
Love On,Love On,Selena Gomez,2024-02-22,1148,44.3,45878045,3731,26039293,63.50158061116965,18082083,515908,0,0,0
Payphone,Overexposed Track By Track,Maroon 5,2012-01-01,1153,44.2,1828026153,249663,71678167,78.0,1051247406,7080472,93015,49072987,397860038
Brickell,MANIFESTING 20-05,Feid,2024-04-10,1150,44.2,59546208,5064,62237863,79.0,26823878,171145,0,0,0
I Like Me Better,I Like Me Better,Lauv,2017-05-19,1152,44.2,1784308411,157818,34910721,75.0,837720618,7077307,573681,117065490,886160801
RUNAWAY,RUNAWAY,OneRepublic,2023-05-26,1154,44.2,127466467,16650,19684494,67.0,13668402,152488,2331,518049,9346042
Que Se Cuide,Que Se Cuide,Luis R Conriquez,2024-05-03,1151,44.2,36145614,1566,48637114,77.0,26390813,239853,0,0,0
Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,2019-06-07,1155,44.1,0,31705,3101433,63.50158061116965,0,0,12423100,1733925285,22817879063
On My Love,On My Love (Sped Up),Zara Larsson,2023-09-12,1159,44.1,128024416,20826,60798732,7.0,14394570,139320,3966,507857,8090936
She Share Story,She Share Story,Shayne Orok,2020-06-02,1156,44.1,0,2443,424979,33.0,238798,10479,10715800,2844924215,33201904006
Mujeriego,Mujeriego - Single,Ryan Castro,2021-12-17,1158,44.1,285723562,63343,16024245,63.0,316060497,3601489,1645802,630242190,6484877304
Miss The Rage (feat. Playboi Carti),Miss The Rage,Trippie Redd,2021-05-07,1160,44.1,535695469,188778,26774987,6.0,171889127,3367746,155446,113564973,1011224005
TUTA GOLD,TUTA GOLD,Mahmood,2024-02-07,1157,44.1,95029509,5218,9118781,65.0,73263450,405639,0,0,0
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,1161,44.0,161916445,3784,17036800,83.0,13509432,180327,0,0,0
Dandini Dandini Dastana,"Hey Dostum, ï¿½ï¿",Derya Yildirim,2023-02-10,1165,44.0,12750,8,137,9.0,520926927,1601560,0,0,0
Florida!!! (feat. Florence + the Machine),THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,1162,44.0,140177107,3866,16996059,63.50158061116965,13707215,189148,18200,6292326,45866138
Legends,Legends,Juice WRLD,2018-06-22,1166,44.0,681282854,118639,18809173,63.0,186468599,1849004,36108,21004398,157362351
Black Beatles,SremmLife 2 (Deluxe),Rae Sremmurd,2016-08-12,1164,44.0,972005229,186174,27470180,69.0,1178473071,9750786,80426,32338631,184153973
King Size,Feed Tha Streets III,Roddy Ricch,2022-11-18,1163,44.0,3248779,3105,291653,33.0,590470795,8815644,113,7218,297262
Girls Want Girls (with Lil Baby),Certified Lover Boy,Drake,2021-09-03,1168,43.9,459480135,137691,22202207,68.0,94845922,710635,97707,54238635,550340528
Linger - SiriusXM Session,SiriusXM Session,Royel Otis,2024-05-31,1171,43.9,8053814,908,11708987,69.0,0,0,74700,46235180,345797900
SLOW DANCING IN THE DARK,SLOW DANCING IN THE DARK,Joji,2018-09-12,1167,43.9,1291244134,241882,48328259,29.0,576756813,6989481,976742,252216973,1853292133
BIPOLAR,BIPOLAR,Peso Pluma,2023-09-07,1169,43.9,222295526,18049,13695569,63.50158061116965,110937613,675774,26622,6784,83048
Addicted,Addicted (feat. Ink) - Single,Zerb,2024-03-29,1170,43.9,63142772,7213,65806267,79.0,320436,6638,7812,3088170,63352002
Besos Moja2,Besos Moja2,Wisin & Yandel,2022-09-29,1176,43.8,416361102,48450,23910344,69.0,251373932,911711,460773,158067701,1931498021
Wake Up in the Sky,Wake Up in the Sky,Gucci Mane,2018-09-14,1173,43.8,996942947,188378,27325666,71.0,614755305,5707814,517615,50143641,424030507
El Chico Del Apartamento 512 - Remasterizado 2024/30th Anniversary,Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,2024-03-22,1174,43.8,195435575,15,74994,63.50158061116965,0,0,0,0,0
Papercut,Papercuts,Linkin Park,2024-04-12,1177,43.8,497285757,130,484758,63.50158061116965,0,0,0,0,0
Chanel,Chanel,Becky G,2023-03-30,1175,43.8,287853890,21244,8675975,65.0,267142398,1552179,98312,44289816,550080768
Otro Trago,Sueï¿½ï,Sech,2019-04-18,1172,43.8,693061510,73605,21529712,63.0,1315371330,9042596,263379,6844512,81046643
Back In Blood (feat. Lil Durk),Back In Blood (feat. Lil Durk),Pooh Shiesty,2020-11-06,1180,43.7,378239461,126894,19992900,62.0,477876565,3072709,95993,30522237,230352883
Jugaste y Sufrï¿,Corta Venas,Eslabon Armado,2020-12-18,1182,43.7,492509763,83013,10228918,70.0,420395103,3706590,144000,92852948,624633508
Una Foto Remix (feat. Emilia),Una Foto Remix (feat. Emilia),Mesita,2024-01-05,1181,43.7,206001461,15932,35397476,78.0,45907269,307741,0,998400,13500000
Religiously,Religiously,Bailey Zimmerman,2023-03-17,1178,43.7,225556005,25164,10017767,73.0,23904394,111346,73524,5688685,56949752
What Happened To Virgil (feat. Gunna),7220,Lil Durk,2022-03-11,1179,43.7,144889291,63045,7698742,59.0,98375891,844144,96486,68284710,515213856
Hello,Hello,Adele,2015-10-23,1186,43.6,1550553401,140637,42531792,68.0,347935820,3794833,209908,68479244,707793848
HAY LUPITA,HAY LUPITA - Single,Lomiiel,2024-03-28,1187,43.6,22692011,1996,19217759,71.0,51510163,439315,6538,9803472,84927420
Gatita,Gatita,Bellakath,2022-10-05,1184,43.6,218661601,25714,8048259,57.0,173995566,1354818,1961387,191009331,2353588008
World on Fire,NATE SMITH (DELUXE),Nate Smith,2023-04-28,1183,43.6,100360956,15383,9521311,69.0,12196961,98714,45372,6096788,57109846
Love You Anyway,Love You Anyway,Luke Combs,2023-02-10,1185,43.6,164507374,29896,7920265,67.0,47201934,291689,127315,21357285,220946119
MOJABI GHOST,DATA,Tainy,2023-06-29,1188,43.5,368429447,46625,20677828,75.0,74049864,676666,3207,955307,6911099
N95,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,1194,43.4,426936498,118020,24734503,74.0,124386115,2134071,34724,16024927,186922543
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],HEROES & VILLAINS,Metro Boomin,2022-12-02,1191,43.4,325654069,108296,18764224,71.0,21886334,217873,0,3,19
Volvï¿,La mï¿½ï¿½sica de @Gina Yei: #ConTodoElCorazï¿½ï¿½nYMï¿½ï¿½s (Banda Sono,Didi Romero,2023-01-11,1192,43.4,47586,60,2805,63.50158061116965,543509003,3372617,0,0,0
You're Really Funny,Rly Funny - EP,Crocodyle,2022-11-11,1190,43.4,0,9,31,63.50158061116965,631421040,3549192,0,0,0
Papercut,Papercuts,Linkin Park,2024-04-12,1193,43.4,497285757,4,466,63.50158061116965,0,0,0,0,0
Earned It (Fifty Shades Of Grey),Fifty Shades Of Grey (Original Motion Picture Soundtrack),The Weeknd,2015-02-10,1195,43.4,1667089416,97707,24754802,69.0,955666073,8354260,331766,121101434,1048617583
Gucci Gang,Gucci Gang,Lil Pump,2017-08-31,1189,43.4,648757330,66961,13429975,55.0,1402505864,15657910,1404568,27119678,243585831
La Bebe,LPM,Yng Lvcas,2021-12-24,1198,43.3,255707376,35404,4489095,64.0,132383657,926647,3955024,237343814,3229349729
Jaded,Endless Summer Vacation,Miley Cyrus,2023-03-10,1197,43.3,173349210,22117,9481406,65.0,69971780,926126,12719,7349390,120314198
Bye,Bye,Peso Pluma,2023-05-26,1196,43.3,252239644,24974,6379185,65.0,157154307,1031138,408410,96001756,1121997176
L$d,Deaf 2 Society,Luclover,2022-04-22,1199,43.3,34621941,15846,2877860,36.0,4019929,89953,5003856,589943665,5720070197
Wolves,Wolves,Selena Gomez,2017-10-25,1200,43.3,1358424406,123735,33188573,71.0,930929767,8736302,961584,29990673,253791542
Scars To Your Beautiful,Know-It-All,Alessia Cara,2015-11-13,1201,43.2,1422563654,129568,38951634,71.0,710718042,9930759,4732710,104484107,736544909
FRI(END)S,FRI(END)S,V,2024-03-15,1203,43.2,196612187,3800,44868049,85.0,38102046,2794580,0,2941,26700
Surface Pressure,Encanto (Original Motion Picture Soundtrack),Jessica Darrow,2021-11-19,1204,43.2,318018082,41062,14552186,65.0,580242930,3471774,103897,128850291,1100134488
Volver Al Futuro,Volver Al Futuro,Oscar Maydon,2024-05-30,1202,43.2,25593926,1247,63521139,78.0,7493616,162691,0,0,0
Praise God,Donda,Kanye West,2021-08-29,1208,43.1,451323154,143071,22968843,67.0,75632640,1192980,1232812,540795852,4707280248
Friesenjung,Friesenjung,Ski Aggu,2023-05-25,1205,43.1,150508549,70377,9755773,70.0,31956891,485999,0,0,0
El Azul,El Azul - Single,Junior H,2023-02-10,1206,43.1,684103586,42304,22784674,76.0,125144381,583066,433800,68202730,622470844
EARFQUAKE,IGOR,"Tyler, The Creator",2019-05-17,1207,43.1,962546385,198786,34308753,76.0,262134097,4025958,55093,46126757,247993418
Ya Supï¿½ï¿½rame (En V,Ya Supï¿½ï¿½rame (En Vivo) - Si,Grupo Firme,2021-08-13,1210,43.0,347218974,34933,16279085,57.0,662346628,2983631,163723,31953097,394751759
if u think i'm pretty,if u think i'm pretty,Artemas,2023-10-24,1212,43.0,219995278,26538,17112526,78.0,25556375,392029,277500,83793501,561266399
Fin de Semana,Fin de Semana,Oscar Maydon,2023-01-13,1211,43.0,568846143,38126,18723665,76.0,209204080,876672,4469,2225214,19351144
Everybody (feat. Lil Uzi Vert),Pink Friday 2,Nicki Minaj,2023-12-07,1209,43.0,114947522,1384,280996,63.50158061116965,0,0,0,0,0
Every Breath You Take,Learned from Love,Bonnie Kimmel,2017-05-26,1215,42.9,0,0,0,63.50158061116965,0,0,0,0,0
My Oh My (feat. DaBaby),Romance,Camila Cabello,2019-12-06,1218,42.9,703865912,78873,23552368,68.0,344504691,5473016,1434048,288727576,2298790080
Forever After All,What You See Ain't Always What You Get (Deluxe Edition),Luke Combs,2020-10-23,1217,42.9,472886929,66543,14596512,70.0,247466941,1347724,412458,53390196,454676514
Fried (She a Vibe),WE DON'T TRUST YOU,Future,2024-03-22,1216,42.9,33224742,8465,12808538,63.50158061116965,6259257,65528,0,0,0
123 Song,123 Song,D Billions,2019-10-23,1214,42.9,628692,98,14910,23.0,1754170433,3004414,458,12632,669921
Hello (feat. A Boogie Wit da Hoodie),Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,2020-07-20,1213,42.9,578061816,190490,26875379,67.0,261251373,2123833,180506,25346506,259813719
Numb,Numb,Marshmello,2022-06-10,1219,42.9,401066217,70661,51920160,69.0,54641192,657641,420,8253,172191
Ojapiano,Ojapiano - Single,KCee,2023-06-03,1222,42.8,27444985,8182,3092737,56.0,30407112,269687,2000000,36069120,619648663
Area Codes,Area Codes,Kaliii,2023-03-17,1220,42.8,228240866,33819,27729274,68.0,71928705,887392,431192,122679145,1249845764
Medallo,Hecho En Medellï¿½,Blessd,2021-10-27,1224,42.8,452087681,66494,24042564,65.0,509694751,2049523,244300,59474554,754567803
Domingo Abacaxi Flamingo,Domingo Abacaxi Flamingo,Bolofofos,2020-09-02,1221,42.8,12933566,1887,331053,51.0,1306329440,3311080,79148,1732260,40068889
Riptide,Ministry Of Sound Presents Chillout Sessions XVI,Vance Joy,2013-01-01,1223,42.8,2541833602,369150,165607442,80.0,533440453,4627060,856131,383809767,3108986398
Ch y la Pizza,Ch y la Pizza,Fuerza Regida,2022-12-01,1230,42.7,511421362,37923,17851037,75.0,265678775,844731,68003,17455943,204148897
In Ha Mood,In Ha Mood,Ice Spice,2023-01-06,1234,42.7,190126590,39734,15519701,63.0,71742798,984809,924557,175869184,1435693104
POR QUï¿½ï¿½ SE,POR QUï¿½ï¿½ SE,Grupo Frontera,2024-05-09,1225,42.7,29906024,1596,46272988,76.0,17263028,241869,0,0,0
ALL MINE,WASTELAND,Brent Faiyaz,2022-07-08,1232,42.7,315014005,61987,22567278,71.0,77564375,661614,129260,51356427,366123920
Let Me Know (I Wonder Why Freestyle),Sucker,Juice WRLD,2019-07-01,1231,42.7,503584339,126610,15066503,72.0,125086953,1299743,204105,22035785,126546185
The Night We Met,The Night We Met,Lord Huron,2015-02-09,1226,42.7,2097181065,286668,123211490,84.0,807672690,8866507,451668,239330349,1722597041
Playa Del Inglï¿½,Playa Del Inglï¿½ï¿½s - Si,Quevedo,2022-12-15,1227,42.7,347558532,68744,34228107,67.0,151166424,705558,99164,14984269,323188246
BOO!SHUT,BOO!SHUT,PIGGS,2023-03-24,1233,42.7,29649,41,1972,3.0,463192119,1356721,0,0,0
HOLA PERDIDA REMIX,HOLA PERDIDA REMIX,Luck Ra,2024-05-31,1228,42.7,8981282,873,40161269,70.0,10058975,233142,0,0,0
Talk,Talk,Yeat,2022-09-02,1229,42.7,242057987,77898,8717113,67.0,39581789,457747,46710,13919189,109453452
Now And Then,Now And Then,The Beatles,2023-11-02,1235,42.6,66843778,23455,13808666,63.50158061116965,52809148,1252936,10600,7478172,151511760
Sign on the Door,Sign on the Door,Dora Lachaise,2023-03-29,1236,42.6,0,4,267,63.50158061116965,466723346,563068,0,0,0
For Life (feat. Zak Abel & Nile Rodgers),For Life (feat. Zak Abel & Nile Rodgers),Kygo,2024-04-19,1240,42.6,36844307,4216,90998184,76.0,314701,7535,0,0,0
Kya Loge Tum,Kya Loge Tum,B Praak,2023-05-15,1238,42.6,89701636,2561,1939449,57.0,375460772,3277504,22300,649330,15339768
California Breeze,It's Only Me,Lil Baby,2022-10-14,1237,42.6,116994951,45626,8408366,61.0,152685892,733891,0,0,0
Nonstop,Scorpion,Drake,2018-06-29,1239,42.6,1118459427,175188,51548109,71.0,409939539,3134200,1703073,223929731,2167216619
LOVE DIVE,LOVE DIVE,IVE,2022-04-05,1243,42.5,397988770,28165,11131897,69.0,583304882,4759365,204227,219351151,1878718115
Alucin,Alucin,Eugenio Esquivel,2023-11-17,1242,42.5,207103587,16933,25825570,63.50158061116965,85555081,727436,0,0,0
Go Stupid,Go Stupid,Polo G,2020-02-14,1241,42.5,416388749,112485,21170575,69.0,122253253,1631776,248954,151447909,940333420
POPSTAR (feat. Drake),POPSTAR (feat. Drake),DJ Khaled,2020-07-17,1247,42.4,712664065,165234,35485186,63.0,384597914,4775085,257346,28205851,247613041
Qual ï¿½ï¿½ o seu des,Qual ï¿½ï¿½ seu des,Tz da Coronel,2024-02-29,1244,42.4,71586678,6088,12104937,73.0,68170959,616414,0,0,0
Lovesick Girls,THE ALBUM,BLACKPINK,2020-10-02,1248,42.4,561712007,40766,14363550,65.0,959285337,16946156,578093,95381031,694367550
Solo (feat. Demi Lovato),Solo (feat. Demi Lovato),Clean Bandit,2018-05-17,1246,42.4,1042065058,114049,30877323,64.0,90354845,1452644,7280799,217591835,3283690900
Una Vida Pasada,Una Vida Pasada,Camilo,2024-04-02,1249,42.4,50955386,2952,47126163,81.0,40003695,294012,11400,3726119,40019764
Steven Universe,Steven Universe,L.Dre,2020-02-21,1245,42.4,54104852,14464,2212197,50.0,0,0,10501056,2714697966,22902123485
places to be,places to be,Fred again..,2024-05-31,1250,42.4,11581454,2277,40816159,73.0,443994,16154,0,0,0
ASI ES LA VIDA,ASI ES LA VIDA,Enrique Iglesias,2023-09-28,1254,42.3,123776123,11830,22722898,63.50158061116965,144081808,854410,135600,3931596,80775271
Corazï¿½,Corazï¿½,Maluma,2017-11-03,1251,42.3,598040653,52952,15758764,64.0,1871767126,7019685,37943,11651047,44176203
Elvira,Elvira,Oscar Maydon,2023-12-20,1255,42.3,183146334,8183,47711465,81.0,97178744,465269,0,0,0
Fantasias,Fantasias,Rauw Alejandro,2019-08-29,1253,42.3,663578551,76919,24789585,67.0,1120507756,4714790,264337,14860378,121300058
El Jefe,El Jefe,Shakira,2023-09-20,1252,42.3,122882453,11838,10617531,63.50158061116965,164469434,2120071,1,8480,72400
Am,AM,Nio Garcia,2021-01-28,1257,42.2,361357607,70546,11143810,57.0,668095711,3934415,1100094,123820134,1087148231
Te Lo Agradezco,Te Lo Agradezco,Kany Garcï¿½,2023-07-27,1258,42.2,169162533,9016,8885567,73.0,210403837,848450,30483,1140777,22480064
PLEBADA,PLEBADA,El Alfa,2023-06-08,1260,42.2,148677837,17100,7456228,65.0,254704259,1938875,1567,35439,724569
Danza Kuduro - Cover,CLUB SONG MIX 2023,MUSIC LAB JPN,2023-11-10,1261,42.2,1651606290,6,66,63.50158061116965,0,0,0,0,0
Marea (Weï¿½ï¿½ï¿½ve Lost Da,Marea (Weï¿½ï¿½ï¿½ve Lost Da,Fred again..,2021-02-22,1259,42.2,336943720,191372,29642267,71.0,31888669,286044,31989,11683008,155341425
Fall In Love,Fall In Love,Bailey Zimmerman,2022-02-11,1262,42.2,262185115,47288,6430525,71.0,121592933,606455,47803,14280562,149251921
Cupid,The Beginning: Cupid - Single,FIFTY FIFTY,2023-02-24,1256,42.2,212084990,34632,4625072,37.0,191028847,3745346,159346,66491755,543360467
Dj Gamm Gamm Piri Slow,Dj Gamm Gamm Piri Slow,DJ BAHBUS,2022-09-28,1265,42.1,32014,7,10,63.50158061116965,68945,653,4500000,27946393,533737667
Guilty as Sin?,THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,1264,42.1,165611453,4418,21928475,78.0,9873283,96083,0,774900,6383500
Waiting For Love,Ibiza Residence 2015,Avicii,2015-01-01,1263,42.1,1397975653,205128,62368816,74.0,1701608739,13598875,1175137,19503025,154837616
BOMBï¿½,LEGENDADDY,Daddy Yankee,2022-03-25,1272,42.0,129335327,27681,6391085,60.0,215778342,1548240,2800000,211713881,2692316483
Hello,Hello,Muramatsu Karaoke,2015-12-04,1268,42.0,3531,2,4,63.50158061116965,3250879013,19819631,0,0,0
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),KHALED KHALED,DJ Khaled,2021-04-30,1271,42.0,352955079,108705,24218793,68.0,285741830,1939019,39265,21216408,177512619
Mo Bamba,Mo Bamba,Sheck Wes,2017-09-19,1266,42.0,1056346890,198581,38436526,71.0,498454408,5874304,1043308,86359858,1247183383
Bank Account,Issa Album,21 Savage,2017-07-06,1267,42.0,1150653471,195032,31101180,70.0,822892668,6651112,909432,91295431,812215684
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Highlights (Deluxe),The Weeknd,2021-02-05,1269,42.0,939627795,67381,127728248,87.0,371522364,3979062,47277,42074581,265186570
Get You The Moon (feat. Snï¿½ï,Get You The Moon (feat. Snï¿½ï,Kina,2018-10-08,1270,42.0,1020435750,157944,42123948,69.0,199282045,3250046,4868621,2193688729,21650351404
Never Felt So Alone,Never Felt So Alone,Labrinth,2023-04-07,1275,41.9,269669185,44019,21429823,67.0,29035288,608532,581320,71546908,531883271
Baile do Bruxo,Baile do Bruxo,Tropa do Bruxo,2023-09-29,1273,41.9,155915718,26646,24127645,63.50158061116965,76324065,717892,0,0,0
Love Me JeJe,Love Me JeJe - Single,Tems,2024-04-25,1274,41.9,34621656,4787,53092639,76.0,8346529,193964,0,1315,9450
Heather,Kid Krow,Conan Gray,2020-03-20,1276,41.8,1675083208,191604,123682546,80.0,138807824,3143644,564728,142804065,755895289
Come & Go (with Marshmello),Come & Go (with Marshmello),Juice WRLD,2020-07-09,1277,41.8,959313617,180366,25884639,71.0,135893380,1681113,162507,9358347,37813204
Mas Rica Que Ayer,Mas Rica Que Ayer,Anuel AA,2023-03-02,1278,41.7,256112908,34370,18181647,67.0,245635362,1493703,0,0,0
Love Again,Future Nostalgia,Dua Lipa,2020-03-27,1279,41.7,665464734,90805,19218236,67.0,419361718,3354831,100817,29557917,296169569
Bï¿½ï¿½cane - A COLORS ,Bï¿½ï¿½cane - A Colors Show - Si,Yamï¿,2023-06-01,1280,41.7,120595666,37922,4374053,69.0,73217073,1365919,19000,98120656,730008954
all of me,american dream,21 Savage,2024-01-12,1283,41.6,87111207,20380,29657028,63.50158061116965,4705879,71296,0,0,0
Giving Me,Giving Me,Jazzy,2023-03-10,1284,41.6,150463218,44298,37322737,67.0,57191900,289311,98700,19724036,275361521
Attitude (feat. Charlie Wilson & Cash Cobain),Attitude (feat. Charlie Wilson & Cash Cobain),Don Toliver,2024-05-22,1281,41.6,14204736,2162,41453309,63.50158061116965,4045474,77878,0,0,0
What Do You Mean?,Full Circle: The Live Anthology,Justin Bieber,2011-11-20,1282,41.6,1599742798,137106,54447816,74.0,2719936771,14654354,52164,21325500,155713369
Bailando - English Version,S** AND LOVE,Enrique Iglesias,2014-01-01,1289,41.5,218205900,28233,7288674,50.0,3559338569,11289750,15933,7120449,81433215
ýýýýýýýýýýýý ýýýýýýýýýýýýýýýý ýýýýýýýýýý,ýýýýýýýýýýýý ýýýýýýýýýýýýýýýý ýýýýýýýýýý - Single,Jazzdauren,2024-03-01,1287,41.5,2902263,968,474517,56.0,77405121,532621,0,304392,10302500
TV,Guitar Songs,Billie Eilish,2022-07-21,1285,41.5,572602278,80064,39873526,76.0,115201405,1469402,11434,17523049,104843270
But Daddy I Love Him,THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,1286,41.5,154819909,3535,21565868,76.0,10014516,120378,0,0,0
Tiroteo - Remix,Tiroteo (Remix),Marc Seguï¿,2021-04-01,1288,41.5,654941874,83163,29637614,75.0,556407060,2672779,97077,17542951,187609192
pushin P (feat. Young Thug),DRIP SEASON 4EVER,Gunna,2022-01-07,1291,41.4,368155242,125521,25605777,65.0,99364654,1057381,3477,2277982,17698609
Take Me to Church,Take Me To Church,Hozier,2013-09-16,1293,41.4,2544489950,238611,69693570,78.0,1690342490,16798785,107362,35030283,261203495
It's You,It's You,Ali Gatie,2019-06-14,1292,41.4,1123039235,140766,29272883,72.0,763620890,9727420,653947,81833797,590573342
Love Lee,Love Lee,AKMU,2023-08-21,1294,41.4,72468277,10736,4247248,65.0,143446620,1074996,578162,105772835,1060502179
Jump,TYLA,Tyla,2024-03-01,1295,41.4,95341415,10243,123617533,77.0,10759752,345092,0,0,0
Venom - Music From The Motion Picture,Kamikaze,Eminem,2018-08-31,1290,41.4,788282679,139716,24601490,68.0,872454191,11385109,979801,566011362,5580305533
fantasmas,fantasmas - Single,Humbe,2023-11-20,1296,41.3,88072335,6388,10711840,63.50158061116965,70685035,1063539,434100,101185703,825658316
Basit Numaralar,Basit Numaralar,Zerrin ï¿½ï¿,2023-08-04,1299,41.3,57370965,7149,2238082,58.0,215435066,698761,203800,7122446,297307993
Karma,Midnights,Taylor Swift,2022-10-21,1297,41.3,777305444,47435,45285568,75.0,97902815,1779726,219236,112157506,937766809
The Painter,The Painter - Single,Cody Johnson,2023-08-11,1298,41.3,107754524,16004,19123002,66.0,11577220,74756,52374,6216569,53554260
Chiky Boom,Chiky Boom,Paylon,2022-11-18,1300,41.2,41254,14,769,1.0,593750417,773861,0,0,0
Me & U,Me & U,Tems,2023-10-05,1306,41.2,100830964,24220,30274256,63.50158061116965,48323636,580854,1093,3894192,32857211
Vista Al Mar,Vista Al Mar,Quevedo,2022-09-09,1303,41.2,511726944,74845,23960314,68.0,182250623,931096,91068,14320250,193905770
Imagine,Imagine,Carbonne,2024-05-03,1301,41.2,35864342,3113,9735703,77.0,11599115,162098,0,0,0
All The Stars (with SZA),All The Stars (with SZA),Kendrick Lamar,2018-01-04,1304,41.2,1638529683,207686,66120497,82.0,633789787,5683859,39792,33196158,211875110
Lehanga,Lehanga,Jass Manak,2019-07-25,1305,41.2,41063045,297,35247,63.50158061116965,1741817091,12058286,3495,326094,7747330
X (feat. Future),Savage Mode,21 Savage,2016-07-15,1302,41.2,581220786,115125,20776088,65.0,365678540,2841760,80,4912,98210
